"","x"
"1",0.041
"2",0.04
"3",0.036
"4",0.041
"5",0.051
"6",0.053
"7",0.048
"8",0.047
"9",0.049
"10",0.05
"11",0.06
"12",0.067
"13",0.062
"14",0.06
"15",0.082
"16",0.071
"17",0.075
"18",0.074
"19",0.079
"20",0.074
"21",0.067
"22",0.075
"23",0.066
"24",0.067
"25",0.073
"26",0.075
"27",0.067
"28",0.06
"29",0.063
"30",0.061
"31",0.063
"32",0.071
"33",0.081
"34",0.075
"35",0.07
"36",0.07
"37",0.069
"38",0.062
"39",0.07
"40",0.082
"41",0.08
"42",0.078
"43",0.085
"44",0.075
"45",0.072
"46",0.085
"47",0.085
"48",0.082
"49",0.081
"50",0.078
"51",0.083
"52",0.073
"53",0.077
"54",0.09
"55",0.08
"56",0.077
"57",0.072
"58",0.062
"59",0.057
"60",0.069
"61",0.074
"62",0.061
"63",0.066
"64",0.054
"65",0.054
"66",0.046
"67",0.051
"68",0.053
"69",0.054
"70",0.047
"71",0.043
"72",0.042
"73",0.043
"74",0.039
"75",0.038
"76",0.035
"77",0.039
"78",0.038
"79",0.038
"80",0.035
"81",0.041
"82",0.042
"83",0.05
"84",0.045
"85",0.048
"86",0.054
"87",0.051
"88",0.05
"89",0.057
"90",0.059
"91",0.067
"92",0.078
"93",0.091
"94",0.095
"95",0.085
"96",0.102
"97",0.117
"98",0.116
"99",0.135
"100",0.14
