
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.64      3.07      0.47      0.00      4.59     73.20      1.00
                    E0    494.16    428.29    347.35     92.68   1054.45    104.40      0.99
                    H0      1.37      1.28      0.93      0.03      3.17    201.96      1.01
                    I0    102.47    110.93     66.38     12.16    234.09     59.26      1.01
                 beta0      1.60      0.98      1.46      0.20      3.01     20.00      1.05
  confirmed_dispersion      0.37      0.13      0.36      0.19      0.56    156.88      0.99
      death_dispersion      0.49      0.11      0.48      0.31      0.62    164.21      0.99
            death_prob      0.01      0.01      0.01      0.00      0.03     21.40      1.06
            death_rate      0.09      0.03      0.09      0.05      0.14    106.91      1.02
           det_prob[0]      0.26      0.07      0.26      0.15      0.37    104.41      0.99
           det_prob[1]      0.25      0.07      0.25      0.14      0.35    113.91      0.99
           det_prob[2]      0.25      0.08      0.24      0.14      0.36     79.07      0.99
           det_prob[3]      0.24      0.08      0.24      0.12      0.36     49.94      0.99
           det_prob[4]      0.23      0.08      0.23      0.11      0.35     43.31      1.00
           det_prob[5]      0.22      0.08      0.21      0.10      0.35     35.55      1.00
           det_prob[6]      0.22      0.08      0.21      0.09      0.35     30.41      1.00
           det_prob[7]      0.22      0.09      0.20      0.10      0.35     26.58      1.00
           det_prob[8]      0.21      0.09      0.20      0.09      0.36     27.49      0.99
           det_prob[9]      0.22      0.09      0.20      0.09      0.35     26.14      1.00
          det_prob[10]      0.22      0.10      0.19      0.07      0.36     22.71      1.01
          det_prob[11]      0.21      0.09      0.19      0.07      0.34     20.76      1.01
          det_prob[12]      0.20      0.10      0.17      0.06      0.34     24.66      1.00
          det_prob[13]      0.20      0.10      0.18      0.06      0.35     24.58      1.01
          det_prob[14]      0.21      0.11      0.18      0.07      0.36     20.44      1.02
          det_prob[15]      0.21      0.11      0.19      0.05      0.36     22.38      1.00
          det_prob[16]      0.21      0.11      0.20      0.06      0.39     23.77      1.00
          det_prob[17]      0.22      0.12      0.18      0.06      0.40     20.50      1.01
          det_prob[18]      0.22      0.12      0.19      0.06      0.40     17.91      1.02
          det_prob[19]      0.22      0.12      0.19      0.07      0.40     18.95      1.03
          det_prob[20]      0.22      0.12      0.19      0.07      0.43     18.66      1.03
          det_prob[21]      0.23      0.13      0.20      0.07      0.44     18.50      1.03
          det_prob[22]      0.24      0.13      0.21      0.06      0.42     18.01      1.02
          det_prob[23]      0.25      0.13      0.23      0.06      0.41     19.71      1.04
          det_prob[24]      0.26      0.13      0.24      0.07      0.44     20.30      1.03
          det_prob[25]      0.26      0.13      0.24      0.09      0.48     18.35      1.04
          det_prob[26]      0.26      0.14      0.24      0.06      0.45     19.05      1.04
