
                             mean       std    median      5.0%     95.0%     n_eff     r_hat
                  D0[0]    151.06    124.71    121.64      6.02    300.62    149.68      1.02
                  D0[1]      2.01      1.82      1.57      0.02      4.35    139.31      0.99
                  E0[0]  11512.82  10072.44   9205.08    275.09  27552.30     24.03      1.02
                  E0[1]    268.27    220.56    203.48     31.61    638.71     91.28      0.99
                  H0[0]   9498.57   4850.00   9676.86   1502.96  16486.51     62.71      1.00
                  H0[1]   3218.28   1756.18   3318.16    550.66   6043.19    141.12      0.99
                  I0[0]   2902.77   1224.62   2761.85   1106.50   4610.33     98.76      0.99
                  I0[1]     60.73     43.54     47.19     18.54    114.92     67.97      0.99
               beta0[0]      2.64      1.07      2.43      1.12      4.41     10.60      1.11
               beta0[1]      2.55      1.51      2.11      0.60      4.34     20.02      1.00
confirmed_dispersion[0]      0.24      0.05      0.24      0.18      0.32     85.29      1.00
confirmed_dispersion[1]      0.38      0.10      0.37      0.24      0.49     81.17      1.00
    death_dispersion[0]      0.33      0.03      0.33      0.29      0.39    111.80      1.00
    death_dispersion[1]      0.62      0.13      0.59      0.44      0.81    112.02      0.99
          death_prob[0]      0.05      0.01      0.05      0.03      0.07     20.58      1.08
          death_prob[1]      0.03      0.01      0.03      0.02      0.05     19.95      1.00
          death_rate[0]      0.14      0.04      0.13      0.09      0.20    112.61      0.99
          death_rate[1]      0.11      0.02      0.10      0.07      0.14     95.67      1.00
          det_prob[0,0]      0.27      0.04      0.27      0.21      0.32     38.09      0.99
          det_prob[0,1]      0.26      0.05      0.25      0.20      0.34     28.14      1.02
          det_prob[0,2]      0.26      0.06      0.25      0.17      0.35     34.19      1.03
          det_prob[0,3]      0.23      0.05      0.23      0.15      0.31     29.13      1.02
          det_prob[0,4]      0.21      0.06      0.21      0.13      0.34     27.52      1.01
          det_prob[0,5]      0.20      0.06      0.19      0.11      0.32     22.63      1.05
          det_prob[0,6]      0.20      0.06      0.20      0.10      0.29     25.89      1.05
          det_prob[0,7]      0.19      0.06      0.18      0.08      0.27     23.02      1.06
          det_prob[0,8]      0.19      0.06      0.18      0.11      0.29     21.82      1.06
          det_prob[0,9]      0.19      0.06      0.19      0.08      0.27     21.31      1.07
         det_prob[0,10]      0.20      0.06      0.19      0.08      0.29     22.19      1.09
         det_prob[0,11]      0.20      0.06      0.20      0.10      0.30     21.82      1.07
         det_prob[0,12]      0.20      0.07      0.19      0.09      0.28     25.36      1.05
         det_prob[0,13]      0.20      0.07      0.19      0.10      0.30     21.55      1.08
         det_prob[0,14]      0.21      0.07      0.21      0.11      0.32     24.10      1.07
         det_prob[0,15]      0.21      0.07      0.21      0.10      0.31     23.68      1.08
         det_prob[0,16]      0.22      0.07      0.21      0.11      0.31     23.03      1.07
         det_prob[0,17]      0.22      0.06      0.21      0.10      0.31     20.71      1.10
         det_prob[0,18]      0.22      0.07      0.21      0.12      0.32     17.51      1.10
         det_prob[0,19]      0.20      0.06      0.19      0.12      0.29     25.44      1.07
         det_prob[0,20]      0.20      0.06      0.19      0.11      0.29     24.83      1.07
         det_prob[0,21]      0.19      0.06      0.19      0.09      0.28     22.18      1.06
         det_prob[0,22]      0.19      0.06      0.19      0.10      0.28     17.19      1.15
         det_prob[0,23]      0.18      0.06      0.17      0.08      0.27     21.06      1.09
         det_prob[0,24]      0.18      0.06      0.17      0.07      0.26     26.16      1.04
         det_prob[0,25]      0.16      0.05      0.16      0.07      0.24     30.58      1.02
         det_prob[0,26]      0.15      0.05      0.15      0.07      0.23     28.03      1.03
         det_prob[0,27]      0.14      0.05      0.13      0.07      0.23     26.29      1.00
         det_prob[0,28]      0.14      0.05      0.13      0.06      0.22     22.99      1.02
         det_prob[0,29]      0.14      0.04      0.14      0.06      0.21     24.16      1.04
         det_prob[0,30]      0.13      0.04      0.13      0.07      0.20     23.19      1.09
         det_prob[0,31]      0.12      0.04      0.12      0.06      0.18     27.52      1.08
         det_prob[0,32]      0.11      0.04      0.11      0.05      0.17     31.34      1.09
         det_prob[0,33]      0.11      0.04      0.10      0.06      0.17     30.75      1.06
         det_prob[0,34]      0.11      0.04      0.10      0.04      0.17     33.79      1.05
         det_prob[0,35]      0.11      0.04      0.10      0.05      0.17     37.45      1.03
         det_prob[0,36]      0.12      0.04      0.10      0.06      0.19     40.58      1.03
         det_prob[0,37]      0.14      0.05      0.13      0.06      0.21     32.91      1.04
         det_prob[0,38]      0.15      0.05      0.14      0.06      0.23     28.60      1.04
         det_prob[0,39]      0.17      0.06      0.17      0.09      0.26     28.42      1.04
         det_prob[0,40]      0.16      0.05      0.16      0.06      0.22     29.40      1.05
         det_prob[0,41]      0.15      0.06      0.14      0.07      0.22     36.55      1.04
         det_prob[0,42]      0.15      0.06      0.14      0.06      0.22     39.52      1.03
         det_prob[0,43]      0.16      0.06      0.15      0.06      0.25     36.01      1.04
         det_prob[0,44]      0.16      0.07      0.16      0.06      0.25     35.69      1.04
         det_prob[0,45]      0.17      0.07      0.16      0.07      0.30     41.32      1.02
         det_prob[0,46]      0.18      0.08      0.17      0.05      0.30     41.80      1.02
         det_prob[0,47]      0.18      0.08      0.17      0.05      0.29     39.08      1.02
          det_prob[1,0]      0.29      0.04      0.29      0.23      0.35     61.80      0.99
          det_prob[1,1]      0.27      0.05      0.27      0.16      0.33     67.17      0.99
          det_prob[1,2]      0.26      0.06      0.25      0.17      0.35     37.10      1.00
          det_prob[1,3]      0.25      0.06      0.24      0.15      0.36     51.43      1.00
          det_prob[1,4]      0.25      0.07      0.23      0.14      0.36     44.68      0.99
          det_prob[1,5]      0.24      0.07      0.23      0.12      0.34     41.70      1.01
          det_prob[1,6]      0.24      0.07      0.22      0.12      0.34     36.66      1.02
          det_prob[1,7]      0.23      0.08      0.22      0.12      0.35     33.77      1.04
          det_prob[1,8]      0.23      0.08      0.23      0.11      0.33     36.71      1.03
          det_prob[1,9]      0.23      0.08      0.22      0.13      0.35     31.76      1.01
         det_prob[1,10]      0.24      0.08      0.22      0.13      0.38     32.42      1.00
         det_prob[1,11]      0.24      0.07      0.23      0.12      0.32     28.75      1.00
         det_prob[1,12]      0.24      0.07      0.23      0.13      0.34     25.10      1.00
         det_prob[1,13]      0.24      0.07      0.22      0.12      0.36     23.95      0.99
         det_prob[1,14]      0.23      0.07      0.22      0.14      0.35     23.73      0.99
         det_prob[1,15]      0.23      0.07      0.21      0.11      0.33     28.25      0.99
         det_prob[1,16]      0.22      0.07      0.21      0.11      0.33     33.66      0.99
         det_prob[1,17]      0.21      0.08      0.20      0.11      0.32     31.94      0.99
         det_prob[1,18]      0.20      0.07      0.19      0.08      0.29     30.54      0.99
