
                             mean       std    median      5.0%     95.0%     n_eff     r_hat
                  D0[0]      5.37      7.17      3.37      0.07     11.88     63.65      0.99
                  D0[1]      0.91      0.89      0.67      0.02      1.98    116.64      1.00
                  E0[0]   1734.39   1267.04   1711.42     30.58   3399.05     58.26      1.05
                  E0[1]     33.89     30.61     24.43      1.05     75.85     89.47      0.99
                  H0[0]     97.69     56.15    102.26     19.26    194.17    165.51      1.01
                  H0[1]     34.12     18.81     36.03      1.12     58.21     92.59      1.00
                  I0[0]   1154.67    410.05   1095.15    515.90   1736.39     82.82      1.00
                  I0[1]    130.32     30.77    130.25     77.96    175.13     68.77      0.99
               beta0[0]      1.99      0.06      1.99      1.88      2.10     98.02      1.00
               beta0[1]      1.97      0.07      1.98      1.86      2.07     68.25      1.00
             beta_total     -0.58      0.15     -0.62     -0.79     -0.34     14.92      0.99
              betasp[0]     -0.59      0.13     -0.60     -0.77     -0.41     14.80      1.01
              betasp[1]     -0.59      0.17     -0.62     -0.85     -0.35     17.54      1.00
confirmed_dispersion[0]      0.54      0.22      0.48      0.29      0.79     50.92      1.00
confirmed_dispersion[1]      0.61      0.17      0.57      0.38      0.85     49.26      1.02
    death_dispersion[0]      0.32      0.03      0.31      0.26      0.36     62.63      1.00
    death_dispersion[1]      0.59      0.07      0.58      0.50      0.73     89.54      1.01
          death_prob[0]      0.02      0.00      0.02      0.01      0.02     44.81      0.99
          death_prob[1]      0.01      0.00      0.01      0.01      0.02     65.54      1.01
          death_rate[0]      0.10      0.00      0.10      0.10      0.11    103.08      0.99
          death_rate[1]      0.10      0.00      0.10      0.09      0.11    154.92      0.99
          det_prob_d[0]      0.90      0.03      0.90      0.86      0.94    111.21      0.99
          det_prob_d[1]      0.90      0.03      0.90      0.86      0.95    114.27      0.99
                rw[0,0]      1.04      0.11      1.02      0.83      1.16     94.63      1.01
                rw[0,1]      1.08      0.14      1.08      0.87      1.30     84.10      1.01
                rw[0,2]      1.11      0.16      1.10      0.84      1.34     78.36      1.03
                rw[0,3]      1.12      0.17      1.13      0.87      1.37     76.37      1.02
                rw[0,4]      1.12      0.14      1.13      0.90      1.34     70.29      1.06
                rw[0,5]      1.11      0.13      1.10      0.90      1.31     36.13      1.08
                rw[0,6]      1.11      0.13      1.11      0.94      1.37     54.44      1.01
                rw[0,7]      1.11      0.12      1.11      0.91      1.29     36.91      1.00
                rw[0,8]      1.10      0.11      1.11      0.95      1.30     44.49      1.01
                rw[0,9]      1.10      0.11      1.09      0.90      1.25     71.12      0.99
               rw[0,10]      1.08      0.13      1.08      0.85      1.23     72.74      0.99
               rw[0,11]      1.08      0.15      1.07      0.88      1.29     60.92      0.99
               rw[0,12]      1.07      0.15      1.05      0.85      1.29     54.55      0.99
               rw[0,13]      1.02      0.15      0.99      0.78      1.25     42.32      0.99
               rw[0,14]      0.95      0.15      0.94      0.71      1.16     36.87      0.99
               rw[0,15]      0.88      0.14      0.86      0.64      1.11     33.65      0.99
               rw[0,16]      0.79      0.14      0.80      0.54      1.00     29.45      1.00
               rw[0,17]      0.72      0.13      0.71      0.56      0.93     27.11      1.00
               rw[0,18]      0.65      0.11      0.64      0.47      0.83     22.84      1.00
               rw[0,19]      0.58      0.10      0.59      0.41      0.73     16.92      1.02
               rw[0,20]      0.53      0.09      0.53      0.37      0.66     18.76      1.00
               rw[0,21]      0.49      0.09      0.48      0.35      0.66     23.42      1.00
               rw[0,22]      0.45      0.10      0.45      0.31      0.61     23.05      1.00
               rw[0,23]      0.42      0.10      0.42      0.26      0.55     26.16      0.99
               rw[0,24]      0.40      0.09      0.39      0.28      0.54     25.18      0.99
               rw[0,25]      0.38      0.08      0.37      0.25      0.49     22.03      1.00
               rw[0,26]      0.36      0.08      0.36      0.24      0.50     22.38      1.02
               rw[0,27]      0.36      0.08      0.35      0.20      0.44     21.85      1.04
               rw[0,28]      0.34      0.08      0.34      0.23      0.46     20.53      1.04
               rw[0,29]      0.34      0.07      0.34      0.23      0.45     24.22      1.02
               rw[0,30]      0.33      0.07      0.33      0.22      0.42     23.12      1.05
               rw[0,31]      0.34      0.07      0.33      0.23      0.43     28.93      1.02
               rw[0,32]      0.34      0.07      0.34      0.24      0.46     25.45      1.02
               rw[0,33]      0.35      0.07      0.34      0.23      0.44     21.63      1.02
               rw[0,34]      0.35      0.06      0.35      0.25      0.45     27.42      1.02
               rw[0,35]      0.35      0.06      0.34      0.25      0.43     19.67      1.01
               rw[0,36]      0.36      0.06      0.35      0.26      0.43     20.15      1.00
               rw[0,37]      0.36      0.06      0.36      0.27      0.46     22.63      1.00
               rw[0,38]      0.38      0.06      0.37      0.29      0.48     20.77      1.03
               rw[0,39]      0.39      0.07      0.39      0.30      0.50     19.00      1.03
               rw[0,40]      0.39      0.07      0.39      0.29      0.52     19.03      1.00
               rw[0,41]      0.41      0.08      0.40      0.29      0.54     24.12      1.00
               rw[0,42]      0.42      0.08      0.42      0.26      0.53     17.23      1.00
