
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.65      0.71      0.43      0.00      1.54   1743.58      1.00
                    E0    566.26    324.71    559.51     61.67   1063.33   1519.66      1.00
                    H0    558.76    316.01    551.73     10.61   1008.17   1306.39      1.00
                    I0    282.91    237.01    200.69     18.96    647.97    563.71      1.00
              a_raw[0]     -0.02      0.01     -0.02     -0.03     -0.01    256.78      1.00
              a_raw[1]     -0.03      0.01     -0.03     -0.04     -0.02    245.06      1.00
              a_raw[2]     -0.04      0.01     -0.04     -0.05     -0.02    239.50      1.01
              a_raw[3]     -0.04      0.01     -0.04     -0.06     -0.02    231.16      1.01
              a_raw[4]     -0.04      0.01     -0.04     -0.05     -0.02    223.09      1.01
              a_raw[5]     -0.03      0.01     -0.03     -0.05     -0.02    224.90      1.01
              a_raw[6]     -0.03      0.01     -0.03     -0.04     -0.02    218.87      1.01
              a_raw[7]     -0.03      0.01     -0.03     -0.04     -0.01    214.34      1.01
              a_raw[8]     -0.02      0.01     -0.02     -0.03     -0.01    239.54      1.01
              a_raw[9]     -0.02      0.01     -0.02     -0.04      0.00    543.71      1.01
                 beta0      1.44      1.35      1.04      0.00      3.26   1236.54      1.00
  confirmed_dispersion      0.22      0.06      0.21      0.12      0.32    673.80      1.00
      death_dispersion      0.11      0.01      0.11      0.10      0.13    929.76      1.00
            death_prob      0.03      0.01      0.02      0.01      0.04     27.09      1.01
            death_rate      0.04      0.01      0.04      0.02      0.06   1187.93      1.00
           det_prob[0]      0.25      0.07      0.25      0.14      0.36    139.86      1.00
           det_prob[1]      0.24      0.07      0.23      0.13      0.36    112.67      1.01
           det_prob[2]      0.22      0.08      0.21      0.10      0.34    105.74      1.01
           det_prob[3]      0.19      0.08      0.18      0.08      0.31    102.16      1.01
           det_prob[4]      0.17      0.07      0.16      0.06      0.28     82.66      1.00
           det_prob[5]      0.15      0.07      0.14      0.05      0.25     85.18      1.00
           det_prob[6]      0.14      0.07      0.13      0.04      0.24     79.99      1.00
           det_prob[7]      0.13      0.07      0.12      0.04      0.22     79.02      1.00
           det_prob[8]      0.13      0.06      0.12      0.05      0.22     75.95      1.00
           det_prob[9]      0.12      0.06      0.11      0.04      0.20     71.99      1.00
          det_prob[10]      0.11      0.06      0.10      0.04      0.20     64.72      1.00
          det_prob[11]      0.10      0.05      0.09      0.03      0.18     62.89      1.00
          det_prob[12]      0.10      0.05      0.09      0.03      0.16     62.14      1.00
          det_prob[13]      0.09      0.05      0.08      0.03      0.16     60.17      1.00
          det_prob[14]      0.09      0.04      0.08      0.03      0.16     54.27      1.00
          det_prob[15]      0.09      0.04      0.08      0.02      0.15     54.21      1.00
          det_prob[16]      0.09      0.04      0.08      0.02      0.15     53.85      1.00
          det_prob[17]      0.08      0.04      0.07      0.02      0.13     54.13      1.00
          det_prob[18]      0.08      0.04      0.07      0.03      0.13     52.14      1.00
          det_prob[19]      0.08      0.04      0.07      0.02      0.13     52.00      1.00
          det_prob[20]      0.08      0.04      0.07      0.02      0.14     48.96      1.00
          det_prob[21]      0.08      0.04      0.07      0.03      0.14     48.11      1.00
          det_prob[22]      0.09      0.04      0.08      0.02      0.14     46.38      1.00
          det_prob[23]      0.09      0.04      0.08      0.02      0.15     42.59      1.00
          det_prob[24]      0.09      0.04      0.08      0.03      0.15     43.57      1.01
          det_prob[25]      0.09      0.04      0.08      0.02      0.15     44.51      1.01
          det_prob[26]      0.09      0.05      0.07      0.02      0.15     40.60      1.01
          det_prob[27]      0.09      0.05      0.08      0.02      0.15     40.40      1.02
          det_prob[28]      0.09      0.05      0.08      0.02      0.16     40.89      1.01
          det_prob[29]      0.09      0.05      0.08      0.02      0.17     41.39      1.01
          det_prob[30]      0.10      0.06      0.08      0.02      0.18     38.36      1.02
          det_prob[31]      0.10      0.06      0.09      0.02      0.19     40.61      1.02
          det_prob[32]      0.11      0.07      0.09      0.03      0.22     37.52      1.02
          det_prob[33]      0.12      0.07      0.10      0.02      0.22     39.62      1.02
          det_prob[34]      0.13      0.08      0.12      0.02      0.25     34.64      1.02
          det_prob[35]      0.15      0.09      0.13      0.03      0.28     32.76      1.02
          det_prob[36]      0.16      0.09      0.14      0.03      0.30     33.72      1.02
          det_prob[37]      0.18      0.10      0.16      0.02      0.32     30.56      1.02
          det_prob[38]      0.19      0.11      0.17      0.04      0.37     31.65      1.02
          det_prob[39]      0.21      0.11      0.18      0.04      0.39     29.43      1.02
          det_prob[40]      0.22      0.12      0.20      0.06      0.43     27.06      1.03
          det_prob[41]      0.24      0.13      0.22      0.06      0.45     27.23      1.02
          det_prob[42]      0.25      0.13      0.23      0.07      0.47     26.52      1.02
          det_prob[43]      0.26      0.14      0.24      0.06      0.48     25.88      1.02
          det_prob[44]      0.27      0.14      0.25      0.06      0.49     24.23      1.02
          det_prob[45]      0.28      0.15      0.26      0.07      0.52     23.67      1.02
          det_prob[46]      0.29      0.15      0.27      0.07      0.53     24.04      1.02
          det_prob[47]      0.30      0.15      0.27      0.09      0.56     24.35      1.01
          det_prob[48]      0.31      0.16      0.28      0.08      0.57     24.51      1.02
          det_prob[49]      0.32      0.16      0.29      0.08      0.59     24.25      1.02
          det_prob[50]      0.33      0.17      0.30      0.10      0.62     24.41      1.02
          det_prob[51]      0.34      0.17      0.31      0.10      0.63     24.32      1.02
          det_prob[52]      0.35      0.17      0.32      0.10      0.63     24.98      1.02
          det_prob[53]      0.36      0.17      0.33      0.09      0.63     24.61      1.02
          det_prob[54]      0.37      0.18      0.34      0.12      0.68     24.89      1.02
          det_prob[55]      0.38      0.18      0.35      0.12      0.68     24.58      1.01
          det_prob[56]      0.40      0.18      0.37      0.11      0.68     24.23      1.01
          det_prob[57]      0.41      0.18      0.39      0.13      0.72     25.06      1.01
          det_prob[58]      0.42      0.19      0.40      0.13      0.72     24.84      1.01
          det_prob[59]      0.44      0.19      0.43      0.16      0.75     24.54      1.01
          det_prob[60]      0.45      0.19      0.44      0.17      0.78     25.29      1.01
          det_prob[61]      0.47      0.19      0.46      0.21      0.83     25.33      1.01
          det_prob[62]      0.49      0.19      0.49      0.19      0.79     26.09      1.01
          det_prob[63]      0.51      0.19      0.51      0.22      0.81     24.38      1.01
          det_prob[64]      0.53      0.18      0.53      0.26      0.84     24.54      1.01
          det_prob[65]      0.54      0.18      0.53      0.27      0.85     24.56      1.01
          det_prob[66]      0.55      0.18      0.54      0.28      0.87     24.39      1.01
          det_prob[67]      0.55      0.19      0.54      0.26      0.85     25.23      1.01
          det_prob[68]      0.55      0.19      0.53      0.28      0.88     26.30      1.01
          det_prob[69]      0.55      0.19      0.54      0.29      0.88     26.21      1.01
          det_prob[70]      0.56      0.19      0.54      0.29      0.88     26.21      1.01
          det_prob[71]      0.56      0.19      0.56      0.29      0.89     27.08      1.01
          det_prob[72]      0.57      0.19      0.56      0.29      0.89     28.22      1.01
          det_prob[73]      0.57      0.19      0.57      0.28      0.89     29.09      1.01
          det_prob[74]      0.57      0.20      0.57      0.27      0.89     30.75      1.01
          det_prob[75]      0.57      0.20      0.57      0.29      0.92     30.34      1.01
          det_prob[76]      0.57      0.20      0.58      0.25      0.88     30.22      1.02
          det_prob[77]      0.58      0.20      0.57      0.25      0.89     28.68      1.02
          det_prob[78]      0.58      0.20      0.58      0.28      0.92     28.54      1.02
          det_prob[79]      0.58      0.20      0.58      0.28      0.92     29.14      1.02
          det_prob[80]      0.58      0.21      0.58      0.28      0.93     30.13      1.02
          det_prob[81]      0.58      0.21      0.58      0.27      0.93     31.73      1.02
          det_prob[82]      0.57      0.21      0.57      0.25      0.92     31.03      1.02
          det_prob[83]      0.57      0.22      0.58      0.22      0.91     33.00      1.02
          det_prob[84]      0.58      0.22      0.58      0.26      0.94     36.58      1.02
          det_prob[85]      0.58      0.22      0.57      0.21      0.91     37.41      1.02
          det_prob[86]      0.57      0.23      0.57      0.23      0.94     37.09      1.01
          det_prob[87]      0.57      0.23      0.58      0.22      0.94     37.13      1.01
          det_prob[88]      0.57      0.23      0.58      0.23      0.95     37.91      1.01
             det_prob0      0.26      0.06      0.26      0.16      0.36    210.51      1.00
            det_prob_d      0.90      0.03      0.90      0.85      0.95   1460.23      1.00
                 gamma      0.50      0.02      0.50      0.47      0.52   1380.84      1.00
                 rw[0]      0.02      0.98      0.04     -1.79      1.49    536.53      1.01
                 rw[1]      0.06      1.40      0.15     -2.20      2.33    349.42      1.01
                 rw[2]      0.06      1.67      0.03     -2.49      2.99    277.40      1.02
                 rw[3]      0.11      1.92      0.11     -3.00      3.21    214.26      1.02
                 rw[4]      0.12      2.19      0.17     -3.81      3.21    173.79      1.02
                 rw[5]      0.14      2.33      0.24     -3.96      3.58    147.15      1.03
                 rw[6]      0.11      2.51      0.21     -4.07      3.91    135.17      1.03
                 rw[7]      0.08      2.67      0.15     -3.69      4.80    122.19      1.03
                 rw[8]      0.13      2.84      0.25     -4.20      4.89     96.50      1.04
                 rw[9]      0.15      2.97      0.24     -4.76      5.00    100.46      1.04
                rw[10]      0.15      3.15      0.34     -4.63      5.39     92.98      1.04
                rw[11]      0.20      3.34      0.41     -5.08      5.49     90.55      1.04
                rw[12]      0.18      3.49      0.32     -4.99      6.03     82.43      1.05
                rw[13]      0.18      3.57      0.25     -5.54      6.09     79.88      1.04
                rw[14]      0.18      3.67      0.27     -5.19      6.63     75.71      1.05
                rw[15]      0.18      3.75      0.27     -5.42      6.42     63.32      1.05
                rw[16]      0.18      3.80      0.32     -5.56      6.17     61.87      1.05
                rw[17]      0.22      3.87      0.39     -5.76      6.57     61.11      1.05
                rw[18]      0.18      3.96      0.40     -5.88      6.76     69.86      1.05
                rw[19]      0.17      4.09      0.39     -6.23      6.76     85.46      1.05
                rw[20]      0.19      4.20      0.48     -6.97      6.64     85.41      1.04
                rw[21]      0.28      4.27      0.66     -6.04      8.08     82.42      1.04
                rw[22]      0.25      4.32      0.59     -6.58      7.40     83.40      1.04
                rw[23]      0.25      4.40      0.46     -6.95      7.24     83.37      1.04
                rw[24]      0.23      4.44      0.50     -6.80      7.60     83.20      1.04
                rw[25]      0.18      4.53      0.52     -7.46      7.07     84.51      1.04
                rw[26]      0.19      4.59      0.41     -7.40      7.34     82.53      1.04
                rw[27]      0.17      4.61      0.39     -6.90      8.01     79.53      1.05
                rw[28]      0.15      4.71      0.35     -7.35      7.86     80.11      1.04
                rw[29]      0.12      4.80      0.29     -7.54      8.14     78.43      1.04
                rw[30]      0.15      4.89      0.36     -7.93      8.08     75.91      1.04
                rw[31]      0.16      4.91      0.41     -7.84      8.15     76.83      1.04
                rw[32]      0.16      4.95      0.26     -8.44      7.53     76.26      1.03
                rw[33]      0.16      4.98      0.20     -8.40      7.57     77.59      1.03
                rw[34]      0.17      5.02      0.30     -7.95      8.34     77.81      1.03
                rw[35]      0.18      5.04      0.24     -7.88      8.09     78.39      1.03
                rw[36]      0.18      5.10      0.33     -8.01      8.44     76.77      1.04
                rw[37]      0.16      5.15      0.42     -7.93      8.57     77.65      1.04
                rw[38]      0.14      5.22      0.33     -8.56      8.25     78.65      1.04
                rw[39]      0.11      5.27      0.43     -8.43      8.58     77.75      1.04
                rw[40]      0.08      5.27      0.51     -8.39      8.71     77.41      1.04
                rw[41]      0.13      5.31      0.37     -8.45      8.50     76.40      1.05
                rw[42]      0.14      5.29      0.43     -8.16      8.85     76.12      1.04
