
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
              a_raw[0]     -0.01      0.10     -0.00     -0.17      0.15    161.80      1.00
              a_raw[1]     -0.05      0.13     -0.05     -0.28      0.15     90.58      1.02
              a_raw[2]     -0.12      0.17     -0.13     -0.40      0.13     86.59      1.02
              a_raw[3]     -0.23      0.19     -0.23     -0.53      0.08     63.99      1.03
              a_raw[4]     -0.38      0.20     -0.39     -0.70     -0.06     52.03      1.03
              a_raw[5]     -0.51      0.21     -0.52     -0.87     -0.19     48.95      1.03
              a_raw[6]     -0.63      0.22     -0.64     -0.97     -0.26     44.68      1.03
              a_raw[7]     -0.77      0.23     -0.78     -1.13     -0.40     47.48      1.03
              a_raw[8]     -0.95      0.23     -0.96     -1.32     -0.58     45.80      1.03
              a_raw[9]     -1.08      0.23     -1.09     -1.49     -0.73     48.90      1.03
             a_raw[10]     -1.18      0.24     -1.17     -1.61     -0.82     48.95      1.03
             a_raw[11]     -1.29      0.24     -1.29     -1.66     -0.88     49.96      1.03
             a_raw[12]     -1.42      0.24     -1.42     -1.81     -1.06     49.11      1.03
             a_raw[13]     -1.44      0.25     -1.44     -1.85     -1.06     50.28      1.02
             a_raw[14]     -1.49      0.26     -1.48     -1.90     -1.08     53.96      1.03
             a_raw[15]     -1.56      0.25     -1.55     -1.96     -1.17     50.83      1.03
             a_raw[16]     -1.60      0.26     -1.58     -2.04     -1.20     51.56      1.04
             a_raw[17]     -1.64      0.26     -1.63     -2.05     -1.20     48.90      1.04
             a_raw[18]     -1.68      0.27     -1.67     -2.14     -1.27     48.31      1.04
             a_raw[19]     -1.71      0.26     -1.71     -2.12     -1.27     47.48      1.04
             a_raw[20]     -1.66      0.27     -1.66     -2.12     -1.24     44.90      1.03
             a_raw[21]     -1.66      0.27     -1.66     -2.10     -1.21     48.19      1.03
             a_raw[22]     -1.69      0.27     -1.68     -2.11     -1.23     50.89      1.04
             a_raw[23]     -1.62      0.27     -1.62     -2.09     -1.23     51.68      1.03
             a_raw[24]     -1.60      0.27     -1.60     -2.02     -1.14     51.32      1.03
             a_raw[25]     -1.60      0.26     -1.60     -2.03     -1.19     46.54      1.04
             a_raw[26]     -1.58      0.26     -1.57     -1.96     -1.14     46.96      1.04
             a_raw[27]     -1.50      0.27     -1.51     -1.92     -1.06     45.48      1.03
             a_raw[28]     -1.48      0.27     -1.48     -1.92     -1.07     48.84      1.03
             a_raw[29]     -1.47      0.26     -1.48     -1.92     -1.08     48.99      1.04
             a_raw[30]     -1.42      0.26     -1.41     -1.81     -0.96     48.87      1.04
