
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.34      2.28      0.63      0.00      3.15    942.26      1.00
                    E0    198.21     86.23    185.76     67.80    308.19    122.32      1.02
                    H0    337.14    199.15    335.36      6.10    627.01   1652.07      1.00
                    I0    107.24    127.63     57.99      3.09    284.70    554.21      1.00
                 beta0      1.44      0.42      1.35      0.82      2.06     29.78      1.04
  confirmed_dispersion      0.21      0.07      0.19      0.10      0.30   1033.62      1.00
      death_dispersion      0.64      0.08      0.64      0.51      0.78   1284.18      1.00
            death_prob      0.01      0.01      0.01      0.00      0.02    108.39      1.00
            death_rate      0.04      0.01      0.04      0.02      0.06   1158.61      1.00
           det_prob[0]      0.25      0.05      0.25      0.16      0.33    145.41      1.00
           det_prob[1]      0.25      0.06      0.24      0.15      0.32    129.53      1.00
           det_prob[2]      0.24      0.06      0.24      0.15      0.33    113.46      1.00
           det_prob[3]      0.23      0.06      0.23      0.14      0.33    102.94      1.00
           det_prob[4]      0.23      0.06      0.22      0.14      0.32     96.25      1.00
           det_prob[5]      0.22      0.06      0.21      0.14      0.32     98.79      1.00
           det_prob[6]      0.21      0.06      0.21      0.12      0.30     97.56      1.00
           det_prob[7]      0.21      0.06      0.20      0.12      0.30     93.04      1.00
           det_prob[8]      0.21      0.06      0.20      0.11      0.30     89.57      1.00
           det_prob[9]      0.20      0.06      0.20      0.11      0.30     86.34      1.00
          det_prob[10]      0.20      0.06      0.19      0.10      0.29     88.64      1.00
          det_prob[11]      0.20      0.06      0.19      0.10      0.29     83.44      1.00
          det_prob[12]      0.19      0.06      0.19      0.10      0.28     81.78      1.00
          det_prob[13]      0.19      0.06      0.18      0.09      0.27     78.46      1.00
          det_prob[14]      0.18      0.06      0.17      0.09      0.27     79.67      1.00
          det_prob[15]      0.17      0.06      0.16      0.08      0.26     75.51      1.00
          det_prob[16]      0.16      0.06      0.16      0.06      0.24     76.76      1.00
          det_prob[17]      0.16      0.06      0.15      0.07      0.24     73.28      1.00
          det_prob[18]      0.15      0.06      0.14      0.06      0.23     76.38      1.00
          det_prob[19]      0.14      0.05      0.13      0.07      0.23     76.91      1.00
          det_prob[20]      0.14      0.05      0.13      0.05      0.21     71.38      1.00
          det_prob[21]      0.13      0.05      0.12      0.05      0.21     71.16      1.00
          det_prob[22]      0.12      0.05      0.11      0.05      0.20     71.10      1.00
          det_prob[23]      0.12      0.05      0.11      0.04      0.19     71.94      1.01
          det_prob[24]      0.11      0.05      0.10      0.04      0.18     74.63      1.01
          det_prob[25]      0.11      0.05      0.10      0.04      0.17     73.65      1.01
          det_prob[26]      0.10      0.04      0.09      0.04      0.16     71.38      1.01
          det_prob[27]      0.10      0.04      0.09      0.03      0.16     73.39      1.01
          det_prob[28]      0.09      0.04      0.09      0.04      0.16     72.93      1.01
          det_prob[29]      0.09      0.04      0.08      0.03      0.15     71.74      1.01
          det_prob[30]      0.09      0.04      0.08      0.03      0.15     70.83      1.01
          det_prob[31]      0.09      0.04      0.08      0.03      0.14     72.33      1.01
          det_prob[32]      0.08      0.04      0.08      0.03      0.14     75.51      1.01
          det_prob[33]      0.08      0.04      0.08      0.03      0.13     72.32      1.01
          det_prob[34]      0.08      0.04      0.07      0.03      0.13     72.42      1.01
          det_prob[35]      0.08      0.04      0.07      0.03      0.13     73.94      1.01
          det_prob[36]      0.08      0.03      0.07      0.03      0.13     73.78      1.01
          det_prob[37]      0.08      0.03      0.07      0.02      0.12     72.90      1.01
          det_prob[38]      0.07      0.03      0.07      0.03      0.12     70.32      1.01
          det_prob[39]      0.07      0.03      0.07      0.02      0.12     68.51      1.02
          det_prob[40]      0.07      0.03      0.07      0.03      0.12     69.66      1.02
          det_prob[41]      0.07      0.03      0.07      0.03      0.12     72.34      1.01
          det_prob[42]      0.07      0.03      0.07      0.03      0.12     70.37      1.02
          det_prob[43]      0.07      0.03      0.07      0.02      0.12     70.20      1.02
