
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
              a_raw[0]     -0.01      0.00     -0.01     -0.01     -0.01    297.21      1.00
              a_raw[1]     -0.01      0.00     -0.01     -0.01     -0.01    291.51      1.00
              a_raw[2]     -0.01      0.00     -0.01     -0.01     -0.01    295.89      1.00
              a_raw[3]     -0.01      0.00     -0.01     -0.02     -0.01    272.66      1.00
              a_raw[4]     -0.01      0.00     -0.01     -0.02     -0.01    272.69      1.00
              a_raw[5]     -0.01      0.00     -0.01     -0.02     -0.01    276.45      1.00
              a_raw[6]     -0.01      0.00     -0.01     -0.02     -0.01    247.10      1.00
              a_raw[7]     -0.01      0.00     -0.01     -0.02     -0.01    262.31      1.00
              a_raw[8]     -0.01      0.00     -0.01     -0.02     -0.01    244.84      1.00
              a_raw[9]     -0.01      0.00     -0.01     -0.02     -0.01    203.20      1.00
             a_raw[10]     -0.02      0.00     -0.01     -0.02     -0.01    206.83      1.00
             a_raw[11]     -0.02      0.00     -0.02     -0.02     -0.01    209.29      1.00
             a_raw[12]     -0.02      0.00     -0.02     -0.02     -0.01    196.99      1.00
             a_raw[13]     -0.02      0.00     -0.02     -0.02     -0.01    187.57      1.00
             a_raw[14]     -0.02      0.00     -0.02     -0.02     -0.01    182.27      1.00
             a_raw[15]     -0.02      0.00     -0.02     -0.02     -0.01    189.41      1.00
             a_raw[16]     -0.02      0.00     -0.02     -0.02     -0.01    195.49      1.00
             a_raw[17]     -0.02      0.00     -0.02     -0.02     -0.01    193.34      1.00
             a_raw[18]     -0.02      0.00     -0.02     -0.02     -0.01    198.55      1.00
             a_raw[19]     -0.02      0.00     -0.02     -0.02     -0.01    199.45      1.00
             a_raw[20]     -0.02      0.00     -0.02     -0.02     -0.02    176.90      1.00
             a_raw[21]     -0.02      0.00     -0.02     -0.02     -0.02    181.33      1.00
             a_raw[22]     -0.02      0.00     -0.02     -0.02     -0.01    176.90      1.00
             a_raw[23]     -0.02      0.00     -0.02     -0.02     -0.02    178.73      1.00
             a_raw[24]     -0.02      0.00     -0.02     -0.02     -0.01    193.45      1.00
             a_raw[25]     -0.02      0.00     -0.02     -0.02     -0.01    191.52      1.00
             a_raw[26]     -0.02      0.00     -0.02     -0.02     -0.01    178.48      1.00
             a_raw[27]     -0.02      0.00     -0.02     -0.02     -0.01    166.49      1.00
             a_raw[28]     -0.02      0.00     -0.02     -0.02     -0.01    179.39      1.00
             a_raw[29]     -0.02      0.00     -0.02     -0.02     -0.01    186.29      1.00
             a_raw[30]     -0.02      0.00     -0.02     -0.02     -0.01    178.30      1.00
             a_raw[31]     -0.02      0.00     -0.02     -0.02     -0.01    185.54      1.00
             a_raw[32]     -0.02      0.00     -0.02     -0.02     -0.01    192.02      1.00
             a_raw[33]     -0.02      0.00     -0.02     -0.02     -0.01    196.08      1.00
             a_raw[34]     -0.02      0.00     -0.02     -0.02     -0.01    176.70      1.00
             a_raw[35]     -0.02      0.00     -0.02     -0.02     -0.01    183.01      1.00
             a_raw[36]     -0.02      0.00     -0.02     -0.02     -0.01    192.29      1.00
             a_raw[37]     -0.02      0.00     -0.02     -0.02     -0.01    171.64      1.00
             a_raw[38]     -0.02      0.00     -0.02     -0.02     -0.01    177.47      1.00
             a_raw[39]     -0.02      0.00     -0.02     -0.02     -0.01    181.27      1.00
             a_raw[40]     -0.02      0.00     -0.02     -0.02     -0.01    165.04      1.01
             a_raw[41]     -0.02      0.00     -0.02     -0.02     -0.01    169.22      1.00
             a_raw[42]     -0.02      0.00     -0.02     -0.02     -0.01    170.03      1.00
             a_raw[43]     -0.02      0.00     -0.02     -0.02     -0.01    185.24      1.00
             a_raw[44]     -0.02      0.00     -0.02     -0.02     -0.01    170.64      1.00
             a_raw[45]     -0.02      0.00     -0.02     -0.02     -0.01    164.38      1.00
             a_raw[46]     -0.02      0.00     -0.02     -0.02     -0.01    174.46      1.00
             a_raw[47]     -0.02      0.00     -0.02     -0.02     -0.01    181.59      1.00
             a_raw[48]     -0.02      0.00     -0.02     -0.02     -0.01    169.40      1.00
             a_raw[49]     -0.02      0.00     -0.02     -0.02     -0.01    186.46      1.00
             a_raw[50]     -0.02      0.00     -0.02     -0.02     -0.01    189.40      1.00
             a_raw[51]     -0.02      0.00     -0.02     -0.02     -0.01    167.48      1.00
             a_raw[52]     -0.02      0.00     -0.02     -0.02     -0.01    172.90      1.00
             a_raw[53]     -0.02      0.00     -0.02     -0.02     -0.01    160.06      1.00
             a_raw[54]     -0.02      0.00     -0.02     -0.02     -0.01    156.49      1.00
             a_raw[55]     -0.02      0.00     -0.02     -0.02     -0.01    160.93      1.00
             a_raw[56]     -0.02      0.00     -0.02     -0.02     -0.01    153.06      1.00
             a_raw[57]     -0.02      0.00     -0.02     -0.02     -0.01    159.11      1.00
             a_raw[58]     -0.02      0.00     -0.02     -0.02     -0.01    158.91      1.00
             a_raw[59]     -0.01      0.00     -0.01     -0.02     -0.01    161.73      1.00
             a_raw[60]     -0.01      0.00     -0.01     -0.02     -0.01    181.27      1.00
             a_raw[61]     -0.01      0.00     -0.01     -0.02     -0.01    171.82      1.00
             a_raw[62]     -0.01      0.00     -0.01     -0.02     -0.01    166.78      1.00
             a_raw[63]     -0.01      0.00     -0.01     -0.02     -0.01    166.29      1.00
             a_raw[64]     -0.01      0.00     -0.01     -0.02     -0.01    165.45      1.00
             a_raw[65]     -0.01      0.00     -0.01     -0.02     -0.01    155.70      1.00
             a_raw[66]     -0.01      0.00     -0.01     -0.02     -0.01    157.43      1.00
             a_raw[67]     -0.01      0.00     -0.01     -0.02     -0.01    154.81      1.00
             a_raw[68]     -0.01      0.00     -0.01     -0.02     -0.01    140.24      1.00
             a_raw[69]     -0.01      0.00     -0.01     -0.02     -0.01    147.72      1.00
             a_raw[70]     -0.01      0.00     -0.01     -0.02     -0.01    144.94      1.01
             a_raw[71]     -0.01      0.00     -0.01     -0.01     -0.01    147.30      1.00
             a_raw[72]     -0.01      0.00     -0.01     -0.01     -0.01    149.19      1.00
             a_raw[73]     -0.01      0.00     -0.01     -0.01     -0.01    181.63      1.00
             a_raw[74]     -0.01      0.00     -0.01     -0.01     -0.01    162.63      1.00
             a_raw[75]     -0.01      0.00     -0.01     -0.01     -0.01    171.22      1.00
             a_raw[76]     -0.01      0.00     -0.01     -0.01     -0.01    177.45      1.00
             a_raw[77]     -0.01      0.00     -0.01     -0.01     -0.01    179.11      1.00
             a_raw[78]     -0.01      0.00     -0.01     -0.01     -0.01    187.72      1.00
             a_raw[79]     -0.01      0.00     -0.01     -0.01     -0.01    163.80      1.00
             a_raw[80]     -0.01      0.00     -0.01     -0.01     -0.01    171.25      1.01
             a_raw[81]     -0.01      0.00     -0.01     -0.01     -0.01    170.14      1.00
             a_raw[82]     -0.01      0.00     -0.01     -0.01     -0.01    171.96      1.00
             a_raw[83]     -0.01      0.00     -0.01     -0.01     -0.01    168.76      1.01
             a_raw[84]     -0.01      0.00     -0.01     -0.01     -0.01    175.16      1.00
             a_raw[85]     -0.01      0.00     -0.01     -0.01     -0.01    185.63      1.00
             a_raw[86]     -0.01      0.00     -0.01     -0.01     -0.01    187.62      1.00
             a_raw[87]     -0.01      0.00     -0.01     -0.01     -0.01    179.86      1.00
             a_raw[88]     -0.01      0.00     -0.01     -0.01     -0.01    174.44      1.00
             a_raw[89]     -0.01      0.00     -0.01     -0.01     -0.01    195.95      1.00
             a_raw[90]     -0.01      0.00     -0.01     -0.01     -0.01    170.09      1.00
             a_raw[91]     -0.01      0.00     -0.01     -0.01     -0.01    187.54      1.00
             a_raw[92]     -0.01      0.00     -0.01     -0.01     -0.01    185.34      1.00
             a_raw[93]     -0.01      0.00     -0.01     -0.01     -0.01    180.04      1.00
             a_raw[94]     -0.01      0.00     -0.01     -0.01     -0.01    175.13      1.00
             a_raw[95]     -0.01      0.00     -0.01     -0.01     -0.01    183.32      1.00
             a_raw[96]     -0.01      0.00     -0.01     -0.01     -0.01    173.73      1.00
             a_raw[97]     -0.01      0.00     -0.01     -0.01     -0.01    170.91      1.00
             a_raw[98]     -0.01      0.00     -0.01     -0.01     -0.01    186.68      1.00
             a_raw[99]     -0.01      0.00     -0.01     -0.01     -0.01    164.73      1.00
            a_raw[100]     -0.01      0.00     -0.01     -0.01     -0.01    169.52      1.00
            a_raw[101]     -0.01      0.00     -0.01     -0.01     -0.01    193.02      1.00
            a_raw[102]     -0.01      0.00     -0.01     -0.01     -0.01    181.98      1.00
            a_raw[103]     -0.01      0.00     -0.01     -0.01     -0.01    175.24      1.00
            a_raw[104]     -0.01      0.00     -0.01     -0.01     -0.01    185.20      1.00
            a_raw[105]     -0.01      0.00     -0.01     -0.01     -0.01    185.79      1.00
            a_raw[106]     -0.01      0.00     -0.01     -0.01     -0.01    183.72      1.00
            a_raw[107]     -0.01      0.00     -0.01     -0.01     -0.01    176.70      1.00
            a_raw[108]     -0.01      0.00     -0.01     -0.01     -0.01    183.29      1.00
            a_raw[109]     -0.01      0.00     -0.01     -0.01     -0.01    188.47      1.00
            a_raw[110]     -0.01      0.00     -0.01     -0.01     -0.01    171.69      1.00
            a_raw[111]     -0.01      0.00     -0.01     -0.01     -0.01    189.18      1.00
            a_raw[112]     -0.01      0.00     -0.01     -0.01     -0.01    182.64      1.00
            a_raw[113]     -0.01      0.00     -0.01     -0.02     -0.01    180.28      1.00
            a_raw[114]     -0.01      0.00     -0.01     -0.02     -0.01    181.32      1.00
            a_raw[115]     -0.01      0.00     -0.01     -0.02     -0.01    147.36      1.00
            a_raw[116]     -0.01      0.00     -0.01     -0.02     -0.01    138.69      1.00
            a_raw[117]     -0.01      0.00     -0.01     -0.02     -0.01    130.70      1.00
            a_raw[118]     -0.01      0.00     -0.01     -0.02     -0.01    147.44      1.00
            a_raw[119]     -0.02      0.00     -0.01     -0.02     -0.01    173.00      1.00
            a_raw[120]     -0.02      0.00     -0.02     -0.02     -0.01    185.84      1.00
            a_raw[121]     -0.02      0.00     -0.02     -0.02     -0.01    161.56      1.00
            a_raw[122]     -0.02      0.00     -0.02     -0.02     -0.01    160.46      1.00
            a_raw[123]     -0.02      0.00     -0.02     -0.02     -0.01    159.79      1.00
            a_raw[124]     -0.02      0.00     -0.02     -0.02     -0.01    161.91      1.00
            a_raw[125]     -0.02      0.00     -0.02     -0.02     -0.01    179.18      1.00
            a_raw[126]     -0.02      0.00     -0.02     -0.02     -0.01    194.08      1.00
            a_raw[127]     -0.02      0.00     -0.02     -0.02     -0.02    185.06      1.00
            a_raw[128]     -0.02      0.00     -0.02     -0.02     -0.02    181.71      1.00
            a_raw[129]     -0.02      0.00     -0.02     -0.02     -0.02    189.71      1.00
            a_raw[130]     -0.02      0.00     -0.02     -0.02     -0.02    188.12      1.00
            a_raw[131]     -0.02      0.00     -0.02     -0.02     -0.02    187.21      1.00
            a_raw[132]     -0.02      0.00     -0.02     -0.02     -0.02    193.36      1.00
            a_raw[133]     -0.02      0.00     -0.02     -0.02     -0.02    188.07      1.00
            a_raw[134]     -0.02      0.00     -0.02     -0.02     -0.02    191.02      1.00
            a_raw[135]     -0.02      0.00     -0.02     -0.02     -0.02    177.50      1.00
            a_raw[136]     -0.02      0.00     -0.02     -0.02     -0.02    178.51      1.00
            a_raw[137]     -0.02      0.00     -0.02     -0.02     -0.02    178.77      1.00
            a_raw[138]     -0.02      0.00     -0.02     -0.02     -0.02    183.90      1.00
            a_raw[139]     -0.02      0.00     -0.02     -0.02     -0.02    183.46      1.00
            a_raw[140]     -0.02      0.00     -0.02     -0.02     -0.02    177.09      1.00
            a_raw[141]     -0.02      0.00     -0.02     -0.02     -0.02    177.03      1.00
            a_raw[142]     -0.02      0.00     -0.02     -0.02     -0.02    176.73      1.00
            a_raw[143]     -0.02      0.00     -0.02     -0.02     -0.02    177.92      1.00
            a_raw[144]     -0.02      0.00     -0.02     -0.02     -0.02    185.13      1.00
            a_raw[145]     -0.02      0.00     -0.02     -0.02     -0.02    180.72      1.00
            a_raw[146]     -0.02      0.00     -0.02     -0.02     -0.02    185.80      1.00
            a_raw[147]     -0.02      0.00     -0.02     -0.02     -0.02    176.55      1.00
            a_raw[148]     -0.02      0.00     -0.02     -0.02     -0.02    179.38      1.00
            a_raw[149]     -0.02      0.00     -0.02     -0.02     -0.02    166.46      1.00
            a_raw[150]     -0.02      0.00     -0.02     -0.02     -0.02    185.42      1.00
            a_raw[151]     -0.02      0.00     -0.02     -0.02     -0.02    174.41      1.00
            a_raw[152]     -0.02      0.00     -0.02     -0.02     -0.02    173.48      1.00
