"","x"
"1",1.18222
"2",1.4023
"3",1.29124
"4",1.30236
"5",1.51508
"6",1.73829
"7",1.92684
"8",2.33103
"9",2.54207
"10",2.73001
"11",3.28095
"12",4.26261
"13",4.39746
"14",3.31107
"15",3.17028
"16",2.88202
"17",2.66343
"18",2.47319
"19",2.5069
"20",2.60075
"21",2.61527
"22",2.02996
"23",1.87236
"24",1.81647
"25",1.78756
"26",1.78081
"27",1.81267
"28",1.51109
"29",1.53094
"30",1.20351
"31",1.1382
"32",1.19437
"33",1.1343
"34",1.2915
"35",1.17933
"36",1.23374
"37",1.20635
"38",1.02117
"39",1.04582
"40",0.99031
"41",0.851914
"42",0.739156
"43",0.77875
"44",0.767207
"45",0.79368
"46",0.796782
"47",0.85468
"48",0.794999
"49",0.797847
"50",0.881381
"51",0.837761
"52",1.10942
"53",1.50103
"54",1.70548
"55",1.69853
"56",1.74476
"57",2.07693
"58",2.0803
"59",2.08287
"60",2.4584
"61",2.4683
"62",2.51266
"63",2.52157
"64",2.76592
"65",2.77299
"66",2.47646
"67",2.00634
"68",2.17501
"69",2.09783
"70",2.07838
"71",2.03964
"72",2.08228
"73",2.26111
"74",2.05097
"75",1.97496
"76",2.17971
"77",2.0823
"78",2.01098
"79",2.06684
"80",1.93912
"81",1.74484
"82",1.56293
"83",1.68538
"84",1.77798
"85",1.64471
"86",1.59546
"87",1.49906
"88",1.48473
"89",1.45167
"90",1.54553
"91",1.52182
"92",1.37382
"93",1.38497
"94",1.27012
"95",1.17396
"96",1.10202
"97",1.01143
"98",1.06097
"99",1.24091
"100",1.0461
"101",1.09383
"102",1.26664
"103",1.46317
"104",1.41944
"105",1.45904
"106",1.58339
"107",1.62795
"108",1.70925
"109",1.82661
"110",1.59117
"111",1.69433
"112",2.1401
"113",2.33752
"114",2.85764
"115",3.29368
"116",4.09728
"117",5.05315
"118",4.79065
"119",5.52524
"120",6.13491
"121",5.14435
"122",4.19967
"123",3.75588
"124",3.05157
"125",3.40389
"126",2.91814
"127",3.02633
"128",2.73555
"129",2.58595
"130",2.34374
"131",2.06217
"132",1.72724
"133",1.72304
"134",1.64981
"135",1.64971
"136",1.61222
"137",1.53328
"138",1.47278
"139",1.47378
"140",1.30581
"141",1.37941
"142",1.31122
"143",1.17955
"144",1.23853
"145",1.14439
"146",1.06048
"147",0.98942
"148",0.995388
"149",0.902398
"150",0.801465
"151",0.875043
"152",0.846482
"153",0.843707
"154",0.919671
"155",1.30989
"156",1.55648
"157",1.52274
"158",1.42045
"159",1.50881
"160",1.69964
"161",1.81474
"162",1.90385
"163",1.95433
"164",2.06103
"165",2.41456
"166",2.56005
"167",2.6628
"168",2.87206
"169",3.51214
"170",3.54888
"171",2.93798
"172",3.1625
"173",3.09483
"174",2.66786
"175",2.58455
"176",2.37673
"177",2.28816
"178",2.01194
"179",2.41774
"180",2.8097
"181",3.5795
"182",3.74441
"183",3.63529
"184",3.27608
"185",2.52071
"186",1.9973
"187",1.64839
"188",1.66449
"189",1.55204
"190",1.57367
"191",1.54584
"192",1.49711
"193",1.31701
"194",1.60143
"195",1.48212
"196",1.40725
"197",1.23012
"198",1.11591
"199",1.04352
"200",1.09667
"201",1.07978
"202",1.06601
"203",1.0006
"204",0.916645
"205",0.941927
"206",1.10362
"207",1.61514
"208",1.60663
"209",1.54549
"210",1.61982
"211",1.73901
"212",1.72474
"213",1.79443
"214",1.87235
"215",1.77205
"216",1.88456
"217",2.09412
"218",2.24143
"219",2.39186
"220",2.57445
"221",3.29122
"222",3.4571
"223",2.97957
"224",3.23343
"225",3.53847
"226",3.17927
"227",2.99822
"228",2.65508
"229",2.14247
"230",1.85326
"231",1.62769
"232",1.72961
"233",1.75095
"234",1.90063
"235",1.84952
"236",1.67838
"237",1.41306
"238",1.47683
"239",1.47229
"240",1.58144
"241",1.50672
"242",1.60494
"243",1.55348
"244",1.3896
"245",1.43984
"246",1.19085
"247",1.35141
"248",1.26974
"249",1.02627
"250",1.00334
"251",0.983771
"252",1.10546
"253",1.16756
"254",1.0448
"255",1.01007
"256",0.946831
"257",0.941907
"258",0.92019
"259",1.12442
"260",1.26741
"261",1.23467
"262",1.23738
"263",1.37565
"264",1.48518
"265",1.45772
"266",1.44121
"267",1.50803
"268",1.68278
"269",1.78267
"270",2.05034
"271",2.2349
"272",2.35569
"273",2.72745
"274",2.91514
"275",2.38171
"276",2.23068
"277",2.26008
"278",2.43412
"279",2.59917
"280",3.00798
"281",3.26483
"282",3.18542
"283",3.45799
"284",3.88275
"285",3.28136
"286",2.97008
"287",2.6039
"288",2.16411
"289",2.22609
"290",2.21985
"291",1.90698
"292",1.54808
"293",1.5466
"294",1.42314
"295",1.41027
"296",1.33189
"297",1.28153
"298",1.26197
"299",1.20967
"300",1.14689
"301",1.01818
"302",0.93429
"303",1.12179
"304",1.07888
"305",1.0713
"306",1.02695
"307",0.974464
"308",1.10199
"309",1.01484
"310",0.925212
"311",1.01259
"312",1.32314
"313",1.48174
"314",1.52094
"315",1.50792
"316",1.61301
"317",1.66295
"318",1.90913
"319",2.06473
"320",2.09269
"321",2.40664
"322",2.40428
"323",2.66627
"324",2.99057
"325",3.70624
"326",4.75291
"327",3.58987
"328",3.64388
"329",4.0849
"330",3.86655
"331",3.75647
"332",3.73489
"333",2.99254
"334",2.68279
"335",2.17591
"336",1.90741
"337",2.07658
"338",2.09783
"339",2.50397
"340",2.43152
"341",2.19451
"342",1.76737
"343",1.58041
"344",1.49119
"345",1.69646
"346",1.74635
"347",1.46691
"348",1.60678
"349",1.7015
"350",1.40884
"351",1.32519
"352",1.33116
"353",1.35496
"354",1.13887
"355",1.06683
"356",1.136
"357",1.10074
"358",1.14798
"359",1.02766
"360",1.07071
"361",1.10389
"362",1.03898
"363",1.18334
"364",1.44513
"365",1.36351
"366",1.31333
"367",1.43478
"368",1.62815
"369",1.73179
"370",1.75785
"371",1.70506
"372",2.28041
"373",2.11503
"374",1.73613
"375",2.52512
"376",2.61228
"377",3.03445
"378",3.6026
"379",3.60085
"380",3.81133
"381",5.14838
"382",6.39478
"383",7.5074
"384",8.45818
"385",8.36329
"386",5.9571
"387",3.55216
"388",2.79972
"389",2.39802
"390",2.40825
"391",2.25106
"392",1.90031
"393",1.72544
"394",1.62757
"395",1.62306
"396",1.64429
"397",1.5639
"398",1.59395
"399",1.65279
"400",1.57449
"401",1.56583
"402",1.48538
"403",1.31214
"404",1.22518
"405",1.06748
"406",1.11572
"407",1.04192
"408",0.880769
"409",0.957264
"410",1.0129
"411",1.02171
"412",1.01129
"413",1.03302
"414",1.04878
"415",1.21375
"416",1.60103
"417",1.7731
"418",1.92353
"419",1.93051
"420",2.17778
"421",2.43232
"422",2.16187
"423",2.28306
"424",2.44287
"425",2.74578
"426",2.51122
"427",2.79124
"428",3.14364
"429",3.66378
"430",4.38255
"431",3.98742
"432",3.60217
"433",4.02418
"434",4.15906
"435",4.11805
"436",4.15394
"437",4.1483
"438",3.84501
"439",2.89997
"440",2.89249
"441",2.80425
"442",2.24634
"443",2.49381
"444",2.48797
"445",2.36254
"446",2.12248
"447",1.80067
"448",1.69427
"449",1.57645
"450",1.60226
"451",1.74797
"452",1.70254
"453",1.71128
"454",1.68487
"455",1.39405
"456",1.43137
"457",1.23829
"458",1.06354
"459",1.06505
"460",1.01044
"461",1.14857
"462",1.08093
"463",1.15205
"464",0.971586
"465",1.09665
"466",1.10079
"467",1.35163
"468",1.81431
"469",1.72784
"470",1.56645
"471",1.49829
"472",1.61493
"473",1.81585
"474",2.00445
"475",2.31827
"476",2.37719
"477",2.52914
"478",3.12113
"479",3.39352
"480",4.12511
"481",5.12337
"482",7.10479
"483",7.1198
"484",6.36675
"485",6.99201
"486",7.75491
"487",8.01635
"488",7.23576
"489",6.00549
"490",4.75615
"491",3.91466
"492",5.04381
"493",7.61879
